way_id,start,end
4412689,13.367891_52.524621,13.367921_52.524498
4412689,13.367921_52.524498,13.368073_52.524174
4412689,13.368073_52.524174,13.368170_52.524039
4412689,13.368170_52.524039,13.368275_52.523929
4412689,13.368275_52.523929,13.368393_52.523835
4412689,13.368393_52.523835,13.368580_52.523713
4412689,13.368580_52.523713,13.368803_52.523565
4412690,13.761948_53.971202,13.761573_53.971304
4412690,13.761573_53.971304,13.761418_53.970730
4412690,14.505046_53.500709,14.506214_53.501714
4412690,12.977567_51.075560,12.966284_51.078616
4412690,12.966284_51.078616,12.919259_51.092118
4412690,12.919259_51.092118,12.828931_51.123005
4412690,12.828931_51.123005,12.708465_51.174863
4412690,12.708465_51.174863,12.579990_51.245728
4412690,12.579990_51.245728,12.429703_51.348888
4412690,12.429703_51.348888,12.215360_51.547148
4412690,12.215360_51.547148,12.013142_51.854681
4412690,12.013142_51.854681,11.904239_52.166168
4412690,11.904239_52.166168,11.876475_52.357945
4412690,11.876475_52.357945,11.866796_52.480466
4412690,11.866796_52.480466,11.868265_52.554766
4412868,13.390553_52.518155,13.390430_52.518145
4412868,13.390430_52.518145,13.389776_52.518102
4412868,13.389776_52.518102,13.388791_52.518037
4412868,13.388791_52.518037,13.388770_52.518036
4412868,13.388770_52.518036,13.388643_52.518027
4412886,11.904525_52.250328,11.904555_52.250161
4412886,14.855737_52.789168,14.855767_52.789001
4412930,13.370864_52.519401,13.371007_52.519402
4412930,13.371007_52.519402,13.372086_52.519403
4412932,13.376155_52.519399,13.376157_52.519570
4412932,13.376157_52.519570,13.373680_52.519569
4412932,13.373680_52.519569,13.373512_52.519570
4570580,13.384424_52.522279,13.384342_52.522260
4570580,13.384342_52.522260,13.383734_52.522186
4570580,13.383734_52.522186,13.383164_52.522114
4570580,13.383164_52.522114,13.382734_52.522061
4570580,13.382734_52.522061,13.382622_52.522047
4570580,13.382622_52.522047,13.382431_52.522024
4570580,13.382431_52.522024,13.381483_52.521906
4570580,13.381483_52.521906,13.381327_52.521887
4570580,13.381327_52.521887,13.381188_52.521870
4570580,13.381188_52.521870,13.380936_52.521839
4570580,13.380936_52.521839,13.380650_52.521803
4570580,13.380650_52.521803,13.380226_52.521751
4570580,13.380226_52.521751,13.380178_52.521745
4570580,13.380178_52.521745,13.379927_52.521713
4570580,13.379927_52.521713,13.379905_52.521711
4570580,13.379905_52.521711,13.379792_52.521703
4574161,13.370499_52.520921,13.370816_52.520746
4588211,11.909226_52.225723,11.910203_52.225917
4588211,11.905614_52.250015,11.904627_52.249835
4588211,11.904627_52.249835,11.904659_52.249659
4588211,14.851380_52.812010,14.853794_52.799893
4588211,14.853794_52.799893,14.856027_52.787642
4588217,13.303933_54.013229,13.304032_54.011488
4588217,13.343933_54.013535,13.343916_54.014104
4588217,13.474025_51.018055,13.473909_51.018048
4588217,13.473909_51.018048,13.444063_51.016339
4588217,13.444063_51.016339,13.413361_51.015836
4588219,13.601241_51.029153,13.601100_51.030131
4588219,13.472625_51.016947,13.472669_51.016177
4588219,13.472669_51.016177,13.479306_51.016559
4588219,13.479306_51.016559,13.488752_51.017180
4588219,13.488752_51.017180,13.484644_51.016914
4588219,13.171593_53.998228,13.230345_54.006728
4588219,13.230345_54.006728,13.291755_54.010707
4588219,13.291755_54.010707,13.293008_54.010787
4588220,14.860826_52.785030,14.861615_52.785174
4588220,14.861615_52.785174,14.851695_52.839401
4588220,11.914164_52.226460,11.914128_52.226643
4588220,11.914128_52.226643,11.915274_52.226867
4588220,11.921379_52.197314,11.920236_52.197066
4588220,11.920236_52.197066,11.920189_52.197283
4588222,13.478656_51.015649,13.478878_51.015663
4588222,13.478878_51.015663,13.481042_51.015796
4588222,13.294348_54.009982,13.294460_54.009989
4588222,13.294460_54.009989,13.295772_54.010070
4588222,13.295772_54.010070,13.297593_54.010182
4592630,15.392429_50.314011,15.392682_50.314242
4592630,15.392682_50.314242,15.390396_50.316743
4592630,14.882049_49.942348,14.882966_49.940781
4592630,13.368149_52.528122,13.368402_52.528354
4592630,13.368402_52.528354,13.368547_52.528450
4592630,13.368547_52.528450,13.368737_52.528550
4592630,11.343869_54.742234,11.517515_54.900992
4592630,11.517515_54.900992,11.837647_55.112721
4592630,11.837647_55.112721,11.969371_55.182184
4592633,13.631736_51.046308,13.631889_51.046335
4592633,13.631889_51.046335,13.631675_51.047547
4592633,13.556334_51.036772,13.556385_51.036361
4592633,13.109718_54.000542,13.123750_54.003022
4592633,13.123750_54.003022,13.163030_54.009204
4592633,13.163030_54.009204,13.206209_54.014502
4592633,13.206209_54.014502,13.224082_54.016267
4592725,13.383172_52.524094,13.382655_52.524010
4592725,13.382655_52.524010,13.382179_52.523934
4592725,13.382179_52.523934,13.381791_52.523871
4592725,13.381791_52.523871,13.380936_52.523731
4592725,13.380936_52.523731,13.380022_52.523583
