node_id,lon,lat
272,13.2329,52.5407
273,13.2328,52.5407
274,13.2327,52.5407
275,13.2326,52.5407
276,13.2325,52.5407
277,13.2377,52.539
278,13.238,52.539
279,13.2383,52.539
280,13.2387,52.5389
281,13.239,52.5389
282,13.2391,52.5389
283,13.2406,52.5387
284,13.2407,52.5387
285,13.2413,52.5386
286,13.2415,52.5386
287,13.2423,52.5385
288,13.2438,52.5383
289,13.2442,52.5383
290,13.2445,52.5382
291,13.245,52.5382
292,13.2452,52.5382
293,13.2467,52.5381
294,13.2469,52.5381
295,13.2322,52.5384
296,13.2324,52.5384
297,13.2326,52.5384
298,13.2332,52.5385
299,13.2341,52.5386
300,13.2352,52.5388
301,13.2358,52.5389
302,13.2362,52.5389
303,13.2364,52.5389
304,13.2366,52.539
305,13.2368,52.539
306,13.2371,52.539
307,13.2375,52.539
308,13.2353,52.5396
309,13.235,52.5396
310,13.2345,52.5396
311,13.2341,52.5396
312,13.2338,52.5396
313,13.2337,52.5396
314,13.2333,52.5395
315,13.233,52.5395
316,13.2327,52.5395
317,13.2327,52.5394
318,13.2323,52.5393
319,13.2323,52.5394
320,13.2323,52.5395
321,13.2323,52.5397
322,13.2323,52.5416
323,13.2322,52.5411
324,13.2322,52.5409
325,13.2322,52.5408
326,13.2322,52.5407
327,13.2301,52.5381
328,13.2306,52.5381
329,13.2311,52.5382
330,13.2314,52.5382
331,13.2317,52.5383
332,13.2318,52.5383
333,13.2319,52.5383
334,13.2321,52.5407
335,13.232,52.5407
336,13.2319,52.5407
337,13.2319,52.5408
338,13.2318,52.5408
339,13.2317,52.5409
340,13.2319,52.5392
341,13.2318,52.5392
342,13.2317,52.5391
343,13.247,52.5442
344,13.2469,52.5442
345,13.2468,52.5442
346,13.2465,52.5443
347,13.2464,52.5443
348,13.2462,52.5443
349,13.246,52.5443
350,13.247,52.5441
351,13.2472,52.5441
352,13.2455,52.5443
353,13.2458,52.5443
354,13.2459,52.5443
355,13.2461,52.5443
356,13.2463,52.5442
357,13.2466,52.5442
358,13.2468,52.5441
359,13.2469,52.5441
360,13.247,52.544
361,13.2469,52.5438
362,13.2469,52.5436
363,13.2469,52.5434
364,13.247,52.5434
365,13.2471,52.5436
366,13.2471,52.5438
367,13.2471,52.5439
368,13.2471,52.544
369,13.2472,52.5442
370,13.2473,52.5442
371,13.2473,52.5444
372,13.2474,52.5445
373,13.2475,52.5446
374,13.2399,52.5429
375,13.2398,52.543
376,13.2389,52.5443
377,13.2265,52.5459
378,13.2262,52.5453
379,13.2262,52.5452
380,13.226,52.5447
381,13.2259,52.5445
382,13.2253,52.5462
383,13.2255,52.5461
384,13.2404,52.5283
385,13.241,52.5282
386,13.243,52.528
387,13.2434,52.5279
388,13.2437,52.5279
389,13.2438,52.5279
390,13.2441,52.5278
391,13.2444,52.5278
392,13.2448,52.5278
393,13.2456,52.5277
394,13.2247,52.5448
395,13.2247,52.5447
396,13.2248,52.5447
397,13.2254,52.5446
398,13.2256,52.5446
399,13.2277,52.5457
400,13.2273,52.545
401,13.2269,52.5443
402,13.2288,52.5455
403,13.2285,52.5448
404,13.2281,52.5441
405,13.2294,52.5477
406,13.2299,52.5471
407,13.2301,52.5469
408,13.2301,52.5468
409,13.2302,52.5468
410,13.2303,52.5467
411,13.2311,52.5459
412,13.2313,52.5458
413,13.2304,52.5468
414,13.2318,52.5407
415,13.2322,52.5406
416,13.2325,52.5406
417,13.2319,52.5444
418,13.2319,52.5446
419,13.2318,52.5448
420,13.2317,52.545
421,13.2317,52.5452
422,13.2314,52.5455
423,13.2315,52.5453
424,13.2316,52.545
425,13.2317,52.5448
426,13.2317,52.5447
427,13.2318,52.5446
428,13.2321,52.5438
429,13.2323,52.5431
430,13.2323,52.5429
431,13.2323,52.5427
432,13.2323,52.5425
433,13.2323,52.5422
434,13.2368,52.5468
435,13.2367,52.5468
436,13.2361,52.5466
437,13.236,52.5466
438,13.2357,52.5465
439,13.2355,52.5464
440,13.2354,52.5464
441,13.2349,52.5462
442,13.2348,52.5462
443,13.2344,52.546
444,13.2343,52.546
445,13.2339,52.5458
446,13.2337,52.5457
447,13.2333,52.5456
448,13.2331,52.5455
449,13.232,52.5452
450,13.2319,52.5451
451,13.2318,52.5452
452,13.232,52.5451
453,13.2321,52.5448
454,13.2322,52.5445
455,13.2324,52.5438
456,13.2326,52.5432
457,13.2383,52.5447
458,13.2382,52.5447
459,13.2327,52.5432
460,13.2385,52.5448
461,13.2384,52.5448
462,13.2302,52.5467
463,13.2302,52.5466
464,13.2301,52.5466
465,13.2298,52.5465
466,13.2297,52.5463
467,13.2296,52.5463
468,13.2295,52.5462
469,13.2294,52.5461
470,13.2293,52.546
471,13.2293,52.5458
472,13.2292,52.5456
473,13.2292,52.5454
474,13.2294,52.545
475,13.2295,52.5446
476,13.2299,52.5438
477,13.2302,52.543
478,13.2302,52.5429
479,13.2302,52.5428
480,13.2302,52.5427
481,13.2302,52.5419
482,13.2435,52.5451
483,13.2433,52.5451
484,13.2429,52.5451
485,13.2414,52.545
486,13.2413,52.545
487,13.2438,52.5439
488,13.2437,52.544
489,13.2436,52.5444
490,13.2436,52.5445
491,13.2435,52.545
492,13.2434,52.5455
493,13.2433,52.5457
494,13.2433,52.5459
495,13.2433,52.5461
496,13.2432,52.5461
497,13.2431,52.5466
498,13.2431,52.5469
499,13.2374,52.5463
500,13.2376,52.5464
501,13.2381,52.5465
502,13.2385,52.5466
503,13.2388,52.5466
504,13.2391,52.5467
505,13.2395,52.5467
506,13.2405,52.5468
507,13.2409,52.5468
508,13.2372,52.5463
509,13.2373,52.5463
510,13.2388,52.5415
511,13.2391,52.5411
512,13.2392,52.541
513,13.2394,52.5408
514,13.2395,52.5406
515,13.2396,52.5404
516,13.2397,52.5403
517,13.2166,52.5359
518,13.2167,52.5359
519,13.217,52.5359
520,13.2183,52.5358
521,13.2196,52.5357
522,13.2209,52.5355
523,13.2222,52.5354
524,13.2224,52.5354
525,13.2235,52.5352
526,13.2242,52.5351
527,13.2255,52.535
528,13.2269,52.5348
529,13.2279,52.5346
530,13.2289,52.5344
531,13.2329,52.5337
532,13.2343,52.5334
533,13.2443,52.5441
534,13.2443,52.544
535,13.2443,52.5439
536,13.244,52.5436
537,13.2439,52.5436
538,13.2432,52.543
539,13.2432,52.5429
540,13.2427,52.5425
541,13.2423,52.5424
542,13.2339,52.5405
543,13.2338,52.5405
544,13.2337,52.5405
545,13.2336,52.5405
546,13.2334,52.5405
547,13.2331,52.5406
548,13.233,52.5406
549,13.233,52.5407
550,13.2416,52.5434
551,13.2416,52.5435
552,13.2415,52.5438
553,13.2415,52.5442
554,13.2413,52.5449
555,13.2412,52.545
556,13.2412,52.5452
557,13.2392,52.5416
558,13.2393,52.5416
559,13.2405,52.5419
560,13.2409,52.542
561,13.2409,52.5467
562,13.2463,52.5468
563,13.2455,52.5468
564,13.2437,52.5466
565,13.2436,52.5466
566,13.2437,52.5462
567,13.2135,52.5309
568,13.2136,52.5309
569,13.2152,52.5307
570,13.2154,52.5307
571,13.2156,52.5306
572,13.216,52.5305
573,13.2162,52.5304
574,13.2181,52.5302
575,13.2179,52.5296
576,13.2162,52.5302
577,13.2163,52.5301
578,13.2166,52.5297
579,13.2168,52.5295
580,13.217,52.5293
581,13.2172,52.5292
582,13.2174,52.5291
583,13.2175,52.529
584,13.2176,52.529
585,13.2177,52.529
586,13.2179,52.5289
587,13.218,52.5289
588,13.2183,52.5288
589,13.2186,52.5288
590,13.2187,52.5287
591,13.2188,52.5287
592,13.2189,52.5287
593,13.2191,52.5287
594,13.2194,52.5287
595,13.2195,52.5287
596,13.2196,52.5287
597,13.22,52.5287
598,13.2202,52.5287
599,13.2206,52.5288
600,13.2213,52.5289
601,13.2216,52.529
602,13.2217,52.529
603,13.2217,52.5291
604,13.2217,52.5292
605,13.2209,52.5298
606,13.2169,52.5296
607,13.2171,52.5296
608,13.2174,52.5296
609,13.2176,52.5296
610,13.2178,52.5293
611,13.2178,52.5291
612,13.2175,52.5291
613,13.2181,52.5293
