from_id,to_id,way_id,highway_type,way_name,length
13.2249_52.5391,13.225_52.5391,32264860,service,,0.000100
13.2249_52.5391,13.2249_52.5394,32264964,service,,0.000300
13.225_52.5391,13.2251_52.5391,32264860,service,,0.000100
13.2251_52.5391,13.2256_52.5391,32264860,service,,0.000500
13.2256_52.5391,13.2256_52.5391,32264860,service,,0.000000
13.2256_52.5391,13.2258_52.5391,32264860,service,,0.000200
13.2256_52.5391,13.2256_52.5387,722128346,service,,0.000400
13.2258_52.5391,13.226_52.539,32264860,service,,0.000224
13.226_52.539,13.2261_52.539,32264860,service,,0.000100
13.2261_52.539,13.2264_52.5389,32264860,service,,0.000316
13.2261_52.539,13.2262_52.5391,1065093234,service,,0.000141
13.2264_52.5389,13.2265_52.539,780131249,service,,0.000141
13.2264_52.5389,13.2273_52.5386,1065093230,service,,0.000949
13.2261_52.541,13.2261_52.541,32264874,service,,0.000000
13.2261_52.541,13.2261_52.5411,32264874,service,,0.000100
13.2261_52.5411,13.2261_52.5411,32264874,service,,0.000000
13.2261_52.5411,13.226_52.5421,32264874,service,,0.001005
13.226_52.5421,13.226_52.5422,32264874,service,,0.000100
13.226_52.5422,13.2259_52.5422,32264874,service,,0.000100
13.2259_52.5422,13.2258_52.5422,32264874,service,,0.000100
13.2258_52.5422,13.2256_52.5422,32264874,service,,0.000200
13.2256_52.5422,13.2248_52.5422,32264874,service,,0.000800
13.2248_52.5422,13.2248_52.5422,32264874,service,,0.000000
13.2248_52.5422,13.2241_52.5422,32264874,service,,0.000700
13.2249_52.5394,13.2249_52.5397,32264964,service,,0.000300
13.2249_52.5397,13.2248_52.5402,32264964,service,,0.000510
13.2248_52.5402,13.2248_52.5403,32264964,service,,0.000100
13.2248_52.5402,13.2243_52.5402,1065093236,service,,0.000500
13.2248_52.5403,13.2248_52.5409,32264964,service,,0.000600
13.2248_52.5409,13.2248_52.5409,32264964,service,,0.000000
13.2248_52.5409,13.2247_52.5409,32264964,service,,0.000100
13.2247_52.5409,13.2247_52.5412,32264964,service,,0.000300
13.2247_52.5412,13.2247_52.5414,442776856,service,,0.000200
13.22_52.539,13.22_52.5384,34075645,service,,0.000600
13.22_52.5384,13.2196_52.538,34075645,service,,0.000566
13.22_52.5384,13.22_52.5384,44142839,service,,0.000000
13.22_52.5384,13.22_52.5388,44142839,service,,0.000400
13.2196_52.538,13.2194_52.5377,34075645,service,,0.000361
